WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1,Project Proposal,"10/10/2017, 08:00","15/12/2017, 08:00",3mo 1w 1d,4mo 2w 1d 2h,67%,,,"10/10/2017, 08:00",0s,"15/12/2017, 08:00",0s,,,,,,,
1.1,User need overview & concept introduction,"10/10/2017, 08:00","17/10/2017, 12:00",1w 2d 4h,1w 2d 4h,100%,,,"10/10/2017, 08:00",0s,"17/10/2017, 12:00",0s,,,,,,,
1.1.1,Project concept,"10/10/2017, 08:00","17/10/2017, 12:00",1w 2d 4h,1w 2d 4h,100%,,,"10/10/2017, 08:00",0s,"17/10/2017, 12:00",0s,"10/10/2017, 08:00",,,,0,,
1.2,Data gathering and requirements,"18/10/2017, 08:00","24/10/2017, 17:00",1w 2d,2w 2d,100%,,,"18/10/2017, 08:00",0s,"24/10/2017, 17:00",0s,,,,,,,
1.2.1,Stakeholders,"18/10/2017, 08:00","20/10/2017, 17:00",3d,3d,100%,,,"18/10/2017, 08:00",0s,"20/10/2017, 17:00",0s,"17/10/2017, 17:00",,,,0,,
1.2.2,Market research,"20/10/2017, 08:00","21/10/2017, 17:00",2d,2d,100%,,,"20/10/2017, 08:00",0s,"21/10/2017, 17:00",0s,"20/10/2017, 08:00",,,,0,,
1.2.3,Personas,"18/10/2017, 08:00","20/10/2017, 17:00",3d,3d,100%,,,"18/10/2017, 08:00",0s,"20/10/2017, 17:00",0s,"18/10/2017, 08:00",,,,0,,
1.2.4,Potential user base,"20/10/2017, 08:00","21/10/2017, 17:00",2d,2d,100%,,,"20/10/2017, 08:00",0s,"21/10/2017, 17:00",0s,"20/10/2017, 08:00",,,,0,,
1.2.5,Project requirements,"23/10/2017, 08:00","24/10/2017, 17:00",2d,2d,100%,,,"23/10/2017, 08:00",0s,"24/10/2017, 17:00",0s,"23/10/2017, 08:00",,,,0,,
1.3,Functional specification,"25/10/2017, 08:00","10/12/2017, 17:00",2mo 1w 2d,2mo 2w 2d,60%,,,"25/10/2017, 08:00",0s,"10/12/2017, 17:00",0s,,,,,,,
1.3.1,Functional requirements ,"25/10/2017, 08:00","28/10/2017, 17:00",4d,4d,100%,,,"25/10/2017, 08:00",0s,"28/10/2017, 17:00",0s,"25/10/2017, 08:00",,,,0,,
1.3.2,UML Diagrams,"30/10/2017, 08:00","10/12/2017, 17:00",2mo 2d,2mo 1w 3d,56%,,,"30/10/2017, 08:00",0s,"10/12/2017, 17:00",0s,,,,,,,
1.3.2.1,Use case diagrams,"30/10/2017, 08:00","03/11/2017, 17:00",1w,1w,100%,,,"30/10/2017, 08:00",0s,"03/11/2017, 17:00",0s,"30/10/2017, 08:00",,,,0,,
1.3.2.2,Class diagrams,"03/11/2017, 08:00","15/11/2017, 17:00",2w 3d,2w 3d,100%,,,"03/11/2017, 08:00",0s,"15/11/2017, 17:00",0s,"03/11/2017, 08:00",,,,0,,
1.3.2.3,Sequence diagrams,"21/11/2017, 08:00","29/11/2017, 17:00",1w 4d,1w 4d,50%,,,"21/11/2017, 08:00",0s,"29/11/2017, 17:00",0s,"21/11/2017, 08:00",,,,0,,
1.3.2.4,State diagrams,"21/11/2017, 08:00","29/11/2017, 17:00",1w 4d,1w 4d,50%,,,"21/11/2017, 08:00",0s,"29/11/2017, 17:00",0s,"21/11/2017, 08:00",,,,0,,
1.3.2.5,Dynamic diagram,"05/12/2017, 08:00","10/12/2017, 17:00",1w 1d,1w 1d,0%,,,"05/12/2017, 08:00",0s,"10/12/2017, 17:00",0s,"05/12/2017, 08:00",,,,0,,
1.3.2.6,Collaboration diagram,"05/12/2017, 08:00","10/12/2017, 17:00",1w 1d,1w 1d,0%,,,"05/12/2017, 08:00",0s,"10/12/2017, 17:00",0s,"05/12/2017, 08:00",,,,0,,
1.4,Ethical audit,"25/10/2017, 08:00","27/10/2017, 17:00",3d,3d,100%,,,"25/10/2017, 08:00",0s,"27/10/2017, 17:00",0s,"25/10/2017, 08:00",,,,0,,
1.5,Prototype,"23/11/2017, 08:00","09/12/2017, 17:00",3w 2d,2w 4d,57%,,,"23/11/2017, 08:00",0s,"09/12/2017, 17:00",0s,,,,,,,
1.5.1,Paper wireframes,"23/11/2017, 08:00","30/11/2017, 17:00",1w 3d,1w 3d,100%,,,"23/11/2017, 08:00",0s,"30/11/2017, 17:00",0s,"23/11/2017, 08:00",,,,0,,
1.5.2,Digital wireframes,"04/12/2017, 08:00","09/12/2017, 17:00",1w 1d,1w 1d,0%,,,"04/12/2017, 08:00",0s,"09/12/2017, 17:00",0s,"04/12/2017, 08:00",,,,0,,
1.6,Technical architecture,"04/12/2017, 08:00","06/12/2017, 15:00",2d 6h,2d 6h,0%,,,"04/12/2017, 08:00",0s,"06/12/2017, 15:00",0s,"04/12/2017, 08:00",,,,0,,
1.7,Project Proposal Complete,"15/12/2017, 08:00","15/12/2017, 08:00",,,0%,,,"15/12/2017, 08:00",0s,"15/12/2017, 08:00",0s,"15/12/2017, 08:00",,,,,,
2,Project Implementation & Evaluation,"30/11/2017, 08:00","23/03/2018, 08:00",5mo 2w 3d,10mo 4d,0%,,,"30/11/2017, 08:00",0s,"23/03/2018, 08:00",0s,,,,,,,
2.1,Interactive prototype,"30/11/2017, 08:00","23/12/2017, 17:00",1mo 4d,1mo 4d,0%,,,"30/11/2017, 08:00",0s,"23/12/2017, 17:00",0s,"30/11/2017, 08:00",,,,0,,
2.2,Design database,"08/01/2018, 08:00","09/01/2018, 17:00",2d,2d,0%,,,"08/01/2018, 08:00",0s,"09/01/2018, 17:00",0s,"08/01/2018, 08:00",,,,0,,
2.3,Create database,"10/01/2018, 08:00","15/01/2018, 17:00",1w 1d,1w 1d,0%,,,"10/01/2018, 08:00",0s,"15/01/2018, 17:00",0s,"10/01/2018, 08:00",,,,0,,
2.4,Develop apps,"14/01/2018, 15:30","07/03/2018, 15:30",2mo 2w 2d,5mo 4d,0%,,,"14/01/2018, 15:30",0s,"07/03/2018, 15:30",0s,"14/01/2018, 15:30",,,,,,
2.4.1,Business side,"14/01/2018, 15:30","07/03/2018, 15:30",2mo 2w 2d,2mo 2w 2d,0%,,,"14/01/2018, 15:30",0s,"07/03/2018, 15:30",0s,"14/01/2018, 15:30",,,,0,,
2.4.2,Customer side,"14/01/2018, 15:30","07/03/2018, 15:30",2mo 2w 2d,2mo 2w 2d,0%,,,"14/01/2018, 15:30",0s,"07/03/2018, 15:30",0s,"14/01/2018, 15:30",,,,0,,
2.5,Develop website,"14/01/2018, 15:30","07/03/2018, 15:30",2mo 2w 2d,2mo 2w 2d,0%,,,"14/01/2018, 15:30",0s,"07/03/2018, 15:30",0s,"14/01/2018, 15:30",,,,,,
2.5.1,Front-end,"14/01/2018, 15:30","07/03/2018, 15:30",2mo 2w 2d,2mo 2w 2d,0%,,,"14/01/2018, 15:30",0s,"07/03/2018, 15:30",0s,"14/01/2018, 15:30",,,,0,,
2.5.2,Back-end,"14/01/2018, 15:30","07/03/2018, 15:30",2mo 2w 2d,2mo 2w 2d,0%,,,"14/01/2018, 15:30",0s,"07/03/2018, 15:30",0s,"14/01/2018, 15:30",,,,0,,
2.6,Testing,"14/02/2018, 08:00","01/03/2018, 17:00",3w 1d,3w 1d,0%,,,"14/02/2018, 08:00",0s,"01/03/2018, 17:00",0s,"14/02/2018, 08:00",,,,0,,
2.7,Project presentation,"08/03/2018, 08:00","08/03/2018, 08:00",,,0%,,,"08/03/2018, 08:00",0s,"08/03/2018, 08:00",0s,"08/03/2018, 08:00",,,,,,
2.8,Final project report,"23/03/2018, 08:00","23/03/2018, 08:00",,,0%,,,"23/03/2018, 08:00",0s,"23/03/2018, 08:00",0s,"23/03/2018, 08:00",,,,,,
